umur,lama_berlangganan,tagihan_bulanan,jumlah_keluhan,jumlah_login,paket_premium,churn
42,39,570306,1,7,0,0
50,18,541317,7,214,0,1
66,45,636758,11,220,0,1
49,12,365914,11,79,0,1
66,49,1306916,8,71,0,1
52,31,371102,4,199,0,0
61,22,475950,2,172,0,1
55,44,895238,9,288,0,1
43,64,1442882,6,233,0,1
28,25,961164,0,260,1,0
52,51,1314537,9,144,0,1
25,7,651990,2,21,1,1
63,6,528993,8,77,1,1
31,24,1435319,1,229,0,0
27,19,398971,10,159,1,1
19,9,701109,13,13,0,1
63,36,720971,8,235,0,1
26,40,1112767,10,147,1,1
20,24,1359858,0,149,0,0
38,48,970322,3,29,0,1
43,63,1109154,11,160,1,1
25,69,909471,9,260,0,1
65,53,1012453,12,17,0,1
19,54,1062433,5,62,0,1
23,42,1192460,14,134,0,1
45,45,1231738,12,156,0,1
46,14,837992,6,56,1,1
43,29,524524,14,264,1,1
42,6,506270,14,253,0,1
29,7,1228182,2,186,0,0
22,37,126250,8,198,1,1
51,53,439535,3,170,0,1
65,18,401065,4,5,0,1
54,38,1222939,7,255,0,1
32,59,256857,14,247,0,1
61,1,1336513,11,218,0,1
53,68,721688,14,3,0,1
32,44,196847,13,0,0,1
60,47,893293,2,30,0,0
65,35,1031483,7,116,0,1
40,60,1261625,13,274,0,1
23,52,624645,13,196,0,1
63,8,359718,10,176,0,1
67,41,1001036,0,286,1,0
61,3,1457921,7,235,0,1
60,69,285326,13,78,0,1
62,14,1492880,12,242,0,1
38,26,647526,14,204,0,1
40,70,544194,10,210,0,1
60,58,709766,10,90,0,1
33,40,693684,14,165,1,1
64,51,341819,11,160,0,1
32,5,906955,9,5,1,1
42,32,1066793,7,140,0,1
53,1,349494,5,204,1,0
28,54,1284497,4,19,0,1
68,11,255790,8,99,1,1
32,53,1090506,5,164,0,0
21,8,1471697,14,44,0,1
38,25,974757,0,226,1,0
30,40,603869,11,51,0,1
39,32,261334,5,145,1,1
36,28,321043,0,280,0,0
51,3,1183363,5,122,0,1
31,62,1426409,2,206,0,0
21,27,1319508,5,296,0,1
65,45,1003969,12,101,0,1
69,25,936776,5,273,0,0
63,61,602025,0,128,0,0
44,44,1478611,12,166,0,1
46,46,282730,8,201,1,1
64,14,197464,7,101,0,1
45,8,952301,14,70,0,1
52,48,528546,14,7,0,1
25,14,180312,1,161,1,0
33,65,658851,1,72,0,0
59,7,1032774,4,26,0,1
53,49,460701,14,168,0,1
47,55,496873,9,262,1,1
35,13,470063,1,287,0,0
19,56,561989,10,72,0,1
66,56,245271,0,208,0,0
30,15,741142,1,98,0,0
21,57,604803,4,30,0,0
43,58,1394805,10,32,0,1
42,35,1227893,14,212,0,1
47,16,1425840,9,144,0,1
28,8,1336460,13,98,1,1
24,45,714113,6,179,0,1
48,40,892415,4,134,0,1
61,54,1408147,0,189,0,0
27,14,428773,6,29,1,1
56,59,1218901,5,81,0,0
30,53,934311,6,56,1,1
48,27,777233,1,173,0,0
24,47,1162908,4,207,0,1
66,6,771924,13,182,0,1
59,55,1256292,7,234,1,1
59,44,513742,12,106,1,1
53,18,820841,11,185,1,1
37,16,973081,6,265,1,1
21,12,121643,5,131,0,0
24,20,163128,12,170,0,1
18,45,666811,5,297,0,1
61,64,566606,11,23,1,1
62,59,1201360,0,260,0,0
59,22,974325,0,195,0,0
64,47,946133,6,98,0,1
30,29,1122225,2,100,1,1
39,45,1257578,5,119,1,0
38,9,784764,11,202,0,1
39,24,117401,4,89,1,0
45,15,988390,2,194,0,0
26,36,344373,5,176,0,0
43,13,1260622,2,114,1,1
26,44,1124757,7,31,0,1
32,71,1422691,13,214,0,1
27,36,606911,14,278,0,1
41,61,450162,6,242,0,0
59,40,354572,8,285,0,1
25,27,1103008,4,69,0,1
41,1,640853,11,70,1,1
33,34,631117,14,110,1,1
66,68,1405256,0,157,0,0
43,21,1224599,10,36,0,1
44,33,1115665,9,34,1,1
54,7,1125799,14,58,0,1
21,65,181823,10,206,0,1
67,3,663229,7,65,0,1
41,51,875469,1,261,1,0
36,54,797819,5,269,0,0
53,59,997971,0,232,1,0
56,6,572415,5,156,0,1
27,29,633464,3,105,0,0
42,17,357505,4,153,0,1
35,60,937948,14,17,0,1
36,22,770432,9,259,0,1
53,24,249671,6,118,0,1
27,51,1230621,12,101,0,1
50,50,266460,5,24,1,0
67,11,481047,0,179,0,0
22,56,674891,8,161,0,1
64,71,1485456,5,214,0,0
66,42,387933,5,123,0,1
52,39,832792,8,291,1,1
61,69,580683,11,155,0,1
51,48,975055,9,192,0,1
50,57,582505,4,52,1,0
38,21,1444184,10,169,0,1
34,20,1347454,14,97,0,1
39,15,1109131,5,146,1,1
65,69,928426,5,299,0,1
54,51,1361244,6,29,0,1
32,62,1387679,8,73,0,1
52,37,469453,4,171,0,1
45,6,1271765,4,83,1,1
24,71,191123,3,72,1,0
49,26,807923,9,231,1,1
28,8,835712,3,289,0,0
27,4,1366488,11,126,1,1
26,21,1439106,7,84,0,1
31,31,690940,12,253,0,1
30,21,984555,1,151,1,0
42,25,1428260,9,6,0,1
19,15,1060930,7,135,0,1
52,35,236659,1,183,0,0
24,49,576964,14,226,1,1
38,43,836699,0,243,0,0
35,41,1238368,9,263,0,1
20,37,935471,12,250,1,1
59,57,1154664,14,169,0,1
56,42,462793,8,53,0,1
58,47,142044,10,131,1,1
66,61,816748,7,93,0,1
28,14,1290191,5,45,0,1
56,68,1151581,3,98,0,0
41,53,1447923,1,233,0,0
63,34,378364,7,268,1,1
36,24,1257567,2,36,0,0
21,20,132696,9,74,1,1
43,69,835043,3,57,0,0
55,30,670669,4,18,0,0
59,7,231148,12,187,0,1
49,36,466200,3,138,0,0
56,38,1298594,10,142,0,1
62,52,576708,7,107,0,1
63,15,1320368,8,220,1,1
53,46,456817,13,144,0,1
57,23,614513,13,4,0,1
54,12,374006,13,55,0,1
50,44,725703,0,254,0,0
53,15,168273,1,221,0,0
20,49,469992,11,47,0,1
26,21,170185,3,162,0,1
25,15,807649,0,235,1,0
50,14,482968,10,247,0,1
23,42,107799,5,99,0,1
58,15,884492,14,20,0,1
56,63,931579,11,101,0,1
21,68,747987,4,4,1,0
30,27,649435,12,196,0,1
66,53,1487357,6,148,1,1
19,52,1121167,11,210,0,1
22,63,120914,5,159,0,0
61,53,950131,13,145,1,1
44,57,371759,13,57,1,1
49,52,1199361,2,239,0,1
38,43,450733,4,78,1,1
25,7,331129,2,151,0,1
55,42,1489737,8,4,0,1
25,4,1457618,1,180,0,0
67,69,995850,5,200,1,1
20,5,1466225,8,132,0,1
61,41,1224607,9,121,1,1
20,4,1240394,6,168,0,1
39,2,485096,4,97,0,0
23,67,624434,1,281,0,0
19,21,862430,1,267,0,0
40,70,1051449,3,18,0,1
61,43,1258398,9,131,0,1
19,69,1381374,11,95,1,1
55,9,1151170,1,209,1,0
34,28,288727,11,4,0,1
52,26,313756,12,127,0,1
51,3,746812,12,53,0,1
40,49,782931,7,197,0,1
47,17,602912,9,205,0,1
69,63,948229,6,179,0,1
25,55,668225,6,240,1,1
39,23,841898,2,273,0,0
61,34,422195,6,137,1,0
53,69,561118,7,22,1,1
22,15,1488623,4,119,0,1
30,47,701278,0,114,1,0
46,3,1479671,14,81,0,1
48,28,721597,0,195,1,0
64,3,1355416,11,179,0,1
33,4,1308687,10,174,0,1
59,31,1140100,13,197,0,1
47,45,137459,3,25,0,0
33,59,1287317,1,98,0,0
29,45,320821,6,232,0,0
34,37,839176,12,190,0,1
33,65,184985,2,65,0,0
29,9,790876,11,245,0,1
25,17,1368260,3,103,0,0
37,65,622522,8,190,0,1
20,3,299269,1,140,0,0
33,26,348738,11,178,1,1
47,53,1236871,7,260,0,1
62,31,410085,0,174,0,0
40,26,1142207,2,163,0,0
45,23,734191,3,18,1,1
68,30,925307,13,19,1,1
57,10,196500,5,286,0,0
22,64,423970,0,238,0,0
37,22,1311056,13,43,0,1
57,15,1273204,7,195,0,1
61,56,843781,1,194,0,0
18,20,703133,4,48,1,0
47,47,770493,5,58,0,1
38,53,1353394,7,131,0,1
37,53,791486,2,166,1,0
23,1,133043,11,134,0,1
39,2,497294,8,88,1,1
35,58,1202482,11,270,1,1
25,19,1440070,4,262,0,0
56,62,1415418,7,115,0,1
49,12,230119,3,195,1,0
50,26,1050636,11,107,1,1
33,27,110165,8,46,0,1
29,29,1280442,7,240,0,1
55,15,1023374,4,229,1,1
69,46,1441456,2,244,1,0
51,1,1382265,0,249,0,0
31,60,944516,14,76,0,1
53,57,1164787,4,61,0,0
50,3,186665,4,58,0,0
40,18,1077042,3,237,0,0
67,52,762737,9,188,0,1
62,60,764221,9,55,0,1
19,34,1489208,7,77,0,1
58,60,1306601,2,221,0,0
38,26,490014,11,46,0,1
19,19,118277,9,137,0,1
44,22,1106943,8,23,1,1
26,33,617282,2,28,0,0
18,38,1492966,3,134,0,1
28,35,914234,5,280,1,1
20,67,1081001,8,291,0,1
69,10,577536,9,188,0,1
40,15,484938,1,70,0,0
43,11,1349462,1,205,0,1
21,24,546918,1,241,0,0
35,4,359717,4,183,0,1
23,13,1046181,5,127,0,0
52,57,762860,2,229,0,0
39,37,1152591,2,40,0,1
60,48,580588,1,280,0,0
32,71,1136498,10,161,0,1
39,1,1124050,5,157,1,1
54,60,420956,0,20,0,0
69,12,109201,8,9,1,1
59,21,119941,14,86,1,1
29,11,967073,10,32,0,1
64,44,1206994,9,202,1,1
66,58,403685,3,3,1,0
59,44,543155,13,22,1,1
55,34,1218998,1,196,0,0
35,25,480213,12,273,1,1
62,4,1303598,11,272,0,1
52,64,745253,5,106,1,0
47,16,823163,4,199,0,1
41,10,251714,2,214,1,0
59,66,141607,12,1,0,1
47,35,474261,2,120,1,0
31,6,445009,4,102,1,0
23,19,167583,3,148,0,0
20,59,1485620,4,151,0,1
33,53,1085926,1,52,0,0
24,8,901593,10,165,1,1
69,10,1010044,0,166,1,0
31,67,127663,4,294,0,1
26,38,840741,10,70,1,1
32,29,858707,0,127,0,0
38,15,1311649,2,32,0,0
52,23,1288977,7,156,0,1
19,46,939537,14,265,0,1
44,28,949868,10,203,0,1
19,26,1279281,7,194,1,1
52,10,354928,8,108,0,1
35,47,716923,0,158,1,0
31,4,376386,3,282,0,0
37,55,198901,5,26,1,1
35,66,255812,6,226,1,0
27,67,1179552,4,251,0,0
42,7,1319715,12,264,0,1
19,55,1159807,6,261,1,0
42,31,1282976,10,133,0,1
50,19,1394476,14,25,0,1
53,28,125261,9,42,0,1
48,28,1435982,7,18,1,1
31,19,262814,9,15,1,1
18,20,1152166,5,104,1,1
63,13,478870,10,278,1,1
33,43,1329874,3,202,0,0
63,11,711830,0,207,1,0
69,48,113570,10,165,0,1
20,15,331601,4,58,0,1
52,17,850489,9,47,0,1
58,54,1106947,9,147,0,1
23,50,1125689,9,276,1,1
42,28,488034,3,177,0,0
30,4,1099787,4,288,0,0
51,22,506582,3,113,0,0
25,39,1403595,8,295,0,1
38,34,962800,2,217,0,1
51,44,1045829,2,265,1,0
21,42,909281,14,161,0,1
42,40,1047682,9,35,1,1
32,12,837897,6,74,0,1
21,2,1399773,1,134,0,0
62,28,1274602,8,271,0,1
29,67,1330782,7,178,0,1
49,71,744686,11,158,0,1
49,10,1476449,13,242,0,1
45,57,1156740,5,203,0,1
30,37,637639,13,282,0,1
48,64,696364,12,277,0,1
31,40,931594,8,142,0,1
37,60,1442480,10,7,1,1
35,48,847424,2,115,0,0
46,19,1237650,3,271,0,1
23,33,540844,6,175,1,1
49,44,271811,0,213,1,0
46,37,1178314,12,214,0,1
60,36,1397009,0,56,0,1
19,21,409065,0,228,0,0
40,2,1434301,11,299,0,1
36,31,195672,7,36,0,1
48,30,121485,12,283,0,1
68,44,1372349,5,223,0,0
22,12,668257,2,200,0,1
36,51,624381,9,99,0,1
51,49,128370,6,281,0,1
27,24,1392283,5,74,0,1
42,24,348706,4,211,0,1
19,60,902904,2,190,0,0
28,11,867905,13,62,0,1
67,13,118934,3,111,1,0
48,64,843417,14,142,1,1
32,20,1449845,12,98,0,1
26,71,925535,12,264,0,1
40,28,291157,10,224,0,1
36,2,975137,10,74,0,1
26,43,1467263,0,277,1,0
52,8,772298,8,197,0,1
38,13,1488212,4,183,1,1
26,35,544802,1,292,0,0
45,23,1468744,11,56,0,1
63,46,795047,10,248,0,1
68,15,1088633,8,113,0,1
24,2,1436927,11,139,1,1
33,61,673642,6,40,1,1
33,64,860817,13,152,0,1
50,52,792670,13,231,0,1
21,36,673248,7,104,0,1
21,67,947694,12,105,0,1
56,69,357091,2,299,0,0
57,67,768763,13,129,0,1
34,47,768425,6,160,1,1
54,2,321002,10,256,1,1
56,44,257873,0,228,0,0
69,64,1256758,5,181,0,1
46,28,392112,9,13,1,1
69,54,350714,5,99,1,1
53,67,1050159,10,224,0,1
55,36,1110127,9,230,1,1
56,63,1402631,11,52,1,1
67,25,818131,5,5,0,1
54,48,1143822,2,89,1,0
69,39,670272,5,63,0,1
52,47,766409,13,87,1,1
24,21,958753,2,32,0,1
44,30,862662,9,71,0,1
45,31,746142,8,43,0,1
39,26,577210,6,252,0,1
31,22,190638,13,106,1,1
24,21,907864,12,289,0,1
54,1,1214472,3,1,0,0
39,37,301207,2,135,1,0
22,46,536152,5,116,0,1
19,9,729323,14,120,1,1
44,17,593597,8,287,1,1
38,47,375894,2,93,0,0
55,59,281613,7,6,0,1
32,54,1400307,5,87,0,0
38,12,1152090,3,181,0,1
27,64,987655,4,190,0,1
40,6,1115005,2,207,0,0
56,53,159207,13,290,0,1
22,16,116385,1,277,0,0
18,5,249389,8,51,1,1
30,46,1017897,12,266,0,1
38,14,1173457,2,243,0,0
43,44,1378481,5,181,1,0
67,63,158308,4,210,0,1
62,52,472659,9,197,1,1
38,26,1337662,10,269,0,1
35,53,353267,7,32,0,1
54,29,820790,4,101,1,1
62,19,958463,10,281,1,1
49,47,1497693,7,236,0,1
53,8,1208172,10,215,0,1
34,23,1019217,4,126,1,1
52,35,644716,10,93,1,1
66,53,162160,9,73,0,1
28,58,350894,12,127,0,1
38,5,442873,5,73,1,0
69,16,160843,14,255,0,1
43,17,516219,4,101,1,1
21,32,1490889,1,46,0,1
51,52,535293,9,164,0,1
69,20,172981,9,255,0,1
65,66,827498,5,282,0,1
35,1,427717,13,247,1,1
57,58,863488,6,203,0,1
52,44,259941,14,85,1,1
58,6,333151,2,163,1,0
46,50,1109670,2,56,0,1
69,20,579221,11,205,0,1
46,14,1377483,6,147,0,1
55,5,1274859,14,278,0,1
59,41,387238,10,289,0,1
38,40,634843,9,20,0,1
59,34,170656,3,136,0,0
30,45,1014493,14,9,0,1
66,71,483576,1,44,1,0
58,71,497931,8,248,0,1
34,27,1444882,14,29,0,1
26,44,1249749,13,224,1,1
58,33,460002,12,176,1,1
18,33,201980,8,95,0,1
19,44,662746,5,16,0,0
65,20,1252698,13,27,1,1
46,36,722826,1,125,0,0
50,7,1020644,2,272,1,0
27,32,1140391,4,186,0,1
67,67,1144941,10,141,0,1
57,39,248455,10,137,1,1
38,24,599845,14,228,0,1
45,70,550615,4,213,0,0
28,54,449152,12,273,0,1
51,38,252935,8,290,1,1
25,32,1089130,9,57,1,1
39,45,897809,2,17,1,1
25,61,969463,1,179,0,0
66,70,622377,9,157,0,1
32,53,1294518,7,255,1,1
34,51,419631,6,36,0,1
40,56,774660,11,295,0,1
41,27,691927,8,261,0,1
62,38,1409213,2,78,1,0
36,62,536196,5,153,0,0
22,18,1387552,4,157,0,1
49,64,1311698,4,74,1,1
61,30,758281,9,54,0,1
18,49,1480990,7,205,0,1
40,41,1496013,0,214,1,0
54,13,1078324,0,8,0,0
25,34,385282,2,105,0,0
30,25,312645,10,244,0,1
25,66,895460,1,102,0,0
40,18,1454539,1,274,0,1
60,5,1499347,1,32,0,0
18,19,358312,3,107,0,1
62,42,312194,0,268,0,0
68,18,891744,9,72,1,1
41,32,650261,14,180,1,1
52,21,1072809,8,267,1,1
41,10,1308621,13,151,0,1
34,37,1455110,4,67,0,1
22,49,884313,4,196,1,0
37,13,412100,8,294,0,1
38,55,461523,13,31,1,1
57,17,1424783,4,107,0,1
48,9,456450,12,78,0,1
63,44,717484,12,258,0,1
53,46,575135,10,174,0,1
28,8,633893,13,14,0,1
69,37,720473,7,50,0,1
32,19,1251332,10,106,0,1
36,63,1264927,0,209,1,0
24,46,853455,0,201,0,0
68,71,881215,3,276,1,0
45,26,865962,7,217,0,1
68,46,308976,2,40,0,0
60,46,1483684,0,258,1,0
22,14,282277,10,202,1,1
22,63,1495168,11,98,0,1
47,3,563069,8,148,0,1
49,28,1238473,8,104,0,1
25,29,652016,8,202,0,1
27,18,224826,8,94,1,1
55,35,157858,1,176,0,0
64,47,280161,13,64,0,1
49,5,851964,13,40,0,1
65,59,885968,10,223,0,1
45,59,839617,10,66,0,1
34,47,1046468,10,254,0,1
48,13,852425,3,297,0,0
25,33,439136,14,68,0,1
57,62,985691,1,170,1,0
42,16,478329,6,100,0,1
26,44,1363097,10,139,1,1
19,58,348422,2,205,0,0
32,6,721965,8,72,0,1
67,15,585741,6,59,1,1
20,4,1138625,7,155,0,1
66,56,1099168,8,123,1,1
53,64,1328084,7,13,1,1
21,68,664501,6,263,0,1
31,34,890716,14,26,1,1
58,56,379729,8,244,0,1
58,32,981563,10,49,0,1
42,9,369275,0,186,1,0
67,63,667670,10,56,0,1
27,33,1109237,14,258,1,1
38,21,1051031,3,154,0,1
53,55,1367141,3,33,0,0
29,57,1310584,4,25,0,1
44,2,187081,7,249,0,1
57,13,1202017,9,85,0,1
19,4,547814,0,159,0,0
30,50,636939,5,199,0,1
49,48,385151,8,105,1,1
48,30,852304,9,274,0,1
33,29,1355378,7,288,0,1
49,8,387179,14,257,0,1
49,12,975784,1,219,0,0
51,41,581818,6,14,0,1
28,26,701037,4,20,0,1
27,50,476193,1,58,0,0
32,2,974580,10,81,0,1
34,55,646499,0,117,0,0
57,56,1175442,1,112,1,0
35,14,1385588,10,294,1,1
26,6,1155920,9,275,0,1
42,61,955169,5,256,0,1
57,12,432432,10,264,0,1
31,13,1256455,11,234,1,1
42,19,1066163,7,50,1,1
67,44,521501,2,165,0,1
39,59,795649,4,230,0,0
69,37,1105983,14,220,1,1
47,25,1428727,10,270,0,1
37,16,1435977,1,83,1,0
38,38,1178360,11,229,0,1
61,43,1192797,7,296,1,1
49,14,1153272,3,221,1,0
68,6,455675,10,153,0,1
63,23,134635,9,53,0,1
66,60,420687,11,118,1,1
38,12,836619,5,197,1,0
52,13,111817,2,272,0,0
49,6,620674,10,197,0,1
47,63,417402,14,127,1,1
56,38,1342230,7,91,0,1
66,50,222475,7,8,0,1
29,52,323378,2,226,1,0
58,40,689487,11,45,0,1
64,8,951380,8,133,1,1
35,61,1206358,9,15,1,1
38,8,1229335,12,214,1,1
30,34,304635,4,111,0,1
38,60,116291,9,156,1,1
25,57,995377,8,295,0,1
63,46,322047,6,197,0,1
57,22,711345,14,57,0,1
63,40,973586,14,77,0,1
24,45,1243111,14,241,0,1
40,55,526208,9,98,1,1
61,51,600269,2,5,1,0
49,5,532566,5,278,1,0
28,13,888005,9,211,1,1
39,28,884077,1,272,0,0
39,62,108577,5,83,0,0
60,24,654236,11,111,0,1
42,7,860427,4,197,0,1
39,38,177700,12,27,0,1
45,37,367361,2,140,0,0
46,68,946610,13,172,0,1
30,42,971494,14,19,0,1
35,5,1306057,6,116,0,1
19,64,280112,10,53,0,1
46,50,1095774,3,226,0,1
38,15,1258233,10,108,0,1
32,53,1096570,13,230,0,1
69,25,309002,5,228,0,0
44,9,717363,8,298,0,1
67,38,502885,11,86,0,1
48,22,814335,13,273,0,1
32,49,1046066,5,227,0,1
68,68,614591,3,70,0,1
40,15,977714,14,227,0,1
41,65,1341111,9,112,0,1
61,54,408151,14,292,1,1
30,30,730903,1,290,0,0
39,20,103857,8,104,0,1
60,33,290091,14,290,0,1
54,7,1141399,13,8,1,1
50,8,1368655,3,164,1,0
20,28,374879,3,59,0,0
36,45,789871,1,105,1,0
40,11,1479872,14,110,0,1
46,31,1491639,4,88,1,0
47,12,391900,12,267,0,1
56,51,759254,5,229,0,1
61,44,466675,9,70,0,1
64,50,1322880,5,118,1,1
42,17,153214,2,102,1,0
54,35,1123655,11,201,0,1
64,1,694105,14,22,0,1
25,29,688150,14,89,0,1
59,51,845543,13,92,1,1
33,64,882409,8,263,0,1
25,4,884256,6,284,0,1
18,28,593663,12,170,0,1
61,16,390477,13,220,0,1
22,63,1102299,2,23,0,0
20,53,139288,3,201,0,0
18,17,965020,6,123,0,1
21,40,740072,10,141,0,1
57,13,276339,7,51,0,1
52,52,394319,5,69,1,1
49,58,443802,3,259,0,0
59,37,471879,11,185,1,1
51,61,958886,1,206,0,0
60,34,458117,9,292,0,1
42,70,820658,7,38,1,1
27,17,638093,0,65,0,0
38,20,1203292,8,12,0,1
63,59,1282519,14,193,0,1
56,69,399519,7,287,1,1
44,33,1302796,2,132,0,0
44,17,1191256,9,194,0,1
19,57,777122,3,77,0,0
58,1,1068513,9,249,1,1
65,13,1487213,3,231,0,0
30,27,454818,1,179,0,0
26,70,705632,11,176,0,1
69,59,1339438,10,28,1,1
53,6,1160385,9,165,0,1
39,23,622801,4,225,0,0
59,10,773056,12,135,0,1
43,51,863720,11,186,0,1
29,19,1278882,2,54,1,0
34,51,806817,11,1,1,1
31,68,1233237,10,16,0,1
31,42,294080,0,58,0,0
51,57,1205208,1,87,1,0
37,68,1215109,10,222,0,1
28,38,1220465,11,271,0,1
33,62,708527,6,57,0,1
68,7,725799,14,191,0,1
48,71,157942,0,49,0,0
23,50,1157851,14,212,0,1
36,52,906397,11,229,1,1
54,26,1246531,12,153,1,1
21,26,738466,12,272,0,1
64,19,451230,1,45,1,0
21,9,487808,13,117,1,1
37,61,1034609,9,175,0,1
27,20,737462,6,67,0,1
41,50,985890,0,250,0,0
52,22,1361213,6,229,0,1
43,13,1450655,12,199,0,1
54,12,132784,7,145,0,0
55,10,524817,10,50,0,1
38,65,664153,12,185,0,1
57,30,617087,13,198,0,1
56,8,440845,1,144,1,0
38,21,511832,3,58,0,1
27,22,898086,6,194,0,1
55,18,642118,0,142,1,0
63,66,509421,5,222,0,1
21,48,666713,4,99,1,0
62,44,832855,10,25,0,1
37,9,580910,5,13,0,1
34,67,1402607,7,121,1,1
24,54,500168,10,264,0,1
21,26,582977,10,6,1,1
46,26,1404092,0,218,0,0
31,34,367535,2,219,0,0
20,8,573220,10,182,0,1
41,10,1342116,12,107,1,1
54,48,115091,8,123,1,0
33,55,1440957,11,169,0,1
69,54,1404241,7,256,0,1
21,40,944785,3,8,1,0
41,15,436644,10,279,0,1
51,18,474924,13,124,1,1
47,23,542850,9,161,0,1
35,62,389112,8,35,0,1
36,46,1319853,6,3,0,1
48,39,832267,1,86,1,0
36,15,846577,0,263,1,0
66,53,1439005,0,90,1,0
63,64,465651,12,294,0,1
36,63,545729,2,57,1,0
39,16,1164006,12,139,1,1
41,70,603982,13,171,0,1
62,66,351707,14,259,1,1
29,13,764393,9,24,0,1
47,47,1299566,1,197,0,0
55,9,380400,3,66,0,1
48,63,279594,13,117,0,1
53,34,819713,14,279,0,1
36,29,655476,13,5,0,1
65,37,417278,7,96,0,1
62,43,1446808,4,71,1,1
53,64,508195,4,257,0,0
47,24,936538,5,37,0,1
66,71,1281243,12,295,0,1
50,34,590320,11,55,0,1
35,48,167824,14,102,0,1
69,12,991581,14,102,0,1
66,23,271503,4,215,0,1
45,13,456691,4,20,0,1
64,45,904310,14,114,0,1
28,65,876654,13,209,0,1
62,47,622040,6,290,0,1
50,58,1257060,5,202,1,0
34,5,493423,12,187,0,1
23,5,1149659,12,150,1,1
21,60,1331212,13,190,0,1
37,21,385279,9,213,1,1
65,24,157109,10,41,1,1
64,18,1472074,1,193,0,0
44,21,731180,12,249,0,1
32,54,424377,0,80,0,0
23,10,1376403,0,40,0,0
64,24,575344,3,19,0,1
31,60,1325860,1,8,1,0
28,57,315648,5,123,1,0
56,23,1200164,11,202,0,1
26,22,227558,11,77,0,1
43,68,1488975,8,209,0,1
33,34,1013758,9,17,0,1
22,70,1270497,10,235,1,1
69,28,313630,14,199,0,1
27,39,1308436,13,281,1,1
67,42,1021523,9,251,0,1
20,23,175018,7,238,0,1
30,70,1195449,3,268,0,0
60,2,754529,12,118,0,1
66,24,1027399,11,281,1,1
47,17,1359319,1,6,0,1
62,65,1077074,0,272,0,0
23,70,892553,6,252,0,1
34,69,1247908,9,127,0,1
62,60,1231021,2,91,0,1
68,50,430007,13,5,1,1
36,12,149987,5,73,0,1
59,47,1249363,4,55,0,1
52,67,1014647,4,294,1,1
63,65,721371,11,237,0,1
43,27,994466,1,21,0,1
68,48,1256982,13,40,0,1
22,62,1155880,8,265,0,1
46,44,759409,10,257,0,1
54,19,109495,3,47,1,1
37,59,911139,9,297,0,1
66,8,1079424,0,138,1,0
38,55,406688,1,201,0,0
27,47,786066,8,139,1,1
22,2,725058,6,141,1,1
53,39,114987,9,285,0,1
23,45,250161,1,232,0,0
43,32,1160041,6,157,1,1
21,65,1230647,13,37,0,1
56,38,919072,3,74,0,1
56,11,438141,9,174,0,1
67,10,1160942,1,38,1,0
52,59,916327,11,72,0,1
18,55,1412505,3,57,0,1
41,20,1154818,4,88,1,0
53,17,736904,12,272,0,1
23,68,426543,13,133,0,1
58,5,1417076,3,142,0,0
63,60,1040733,14,94,1,1
61,23,904652,2,155,0,0
48,46,601109,5,200,1,1
37,52,983654,0,159,1,0
41,10,555066,7,210,0,1
42,46,1068204,11,171,0,1
53,28,846256,4,69,1,1
38,43,1252043,7,144,0,1
47,26,1453100,9,166,0,1
41,55,441977,3,116,0,1
61,48,728296,3,184,1,0
59,29,974756,4,202,0,0
47,27,1014150,4,161,0,1
39,18,1253568,10,187,0,1
45,60,1328251,5,42,0,1
24,69,193593,4,200,0,0
52,21,742627,4,230,0,0
45,24,249519,12,3,0,1
31,3,1232516,7,239,0,1
27,62,186677,5,205,0,1
33,2,1093381,1,93,0,0
33,66,336729,3,231,1,0
48,42,567894,3,159,0,0
59,34,1262146,4,112,0,0
42,42,1475303,14,251,0,1
30,20,687344,14,221,1,1
23,68,181468,5,93,1,1
61,45,1009329,10,166,0,1
26,42,854233,4,137,1,1
62,47,137880,13,209,0,1
53,5,101355,13,255,0,1
60,49,206360,10,72,0,1
37,37,683224,5,213,0,1
35,34,312694,7,265,0,1
60,70,1366699,3,150,1,1
38,18,1405610,10,234,0,1
21,19,310828,2,215,0,0
67,40,1195842,8,108,0,1
50,17,1337863,2,299,0,1
44,60,723426,10,295,1,1
24,42,684944,7,119,0,1
23,65,1202680,9,97,0,1
32,53,1225420,11,209,1,1
35,7,100969,4,31,1,0
49,5,886686,8,225,1,1
28,24,564657,2,214,0,0
37,28,954399,9,122,1,1
41,62,566508,9,146,0,1
32,17,301961,7,51,0,1
65,20,674405,13,179,1,1
24,3,706692,12,289,0,1
38,37,1291974,12,186,0,1
59,15,583338,6,107,1,1
43,51,1423631,11,125,0,1
61,48,413323,6,260,0,0
31,8,1384179,13,193,0,1
54,13,425689,10,296,1,1
38,48,340655,9,33,0,1
35,3,1012350,8,275,0,1
22,65,410748,11,181,0,1
20,31,1368549,7,238,0,1
40,26,1485052,2,145,1,0
43,56,116820,13,43,0,1
54,34,700790,12,290,0,1
41,9,1215921,5,294,1,1
66,62,270386,10,258,0,1
36,13,927307,5,18,1,1
68,69,1113689,4,214,0,0
42,41,1219369,2,210,0,1
38,1,1098091,8,230,0,1
29,47,1415629,6,4,0,1
58,4,114866,3,268,1,0
50,63,883834,5,161,1,0
67,52,344734,4,215,0,0
21,10,1111567,0,273,1,0
59,28,1476717,1,99,0,0
24,6,1439180,0,170,0,0
39,27,148500,8,251,1,1
